term,crn,catalog_id,section,credits,title,meetings,timecodes,primary_instructor,instructors,cap,act,rem
Fall2014,72897,BI 0324,A,3.000,Biochemistry I,"[{'days': 'TF', 'times': '1230pm-0145pm', 'dates': '09/02-12/08', 'location': 'BNW 333'}]",['TF 1230pm-0145pm 09/02-12/08 BNW 333'],Aaron R.  Van Dyke,Aaron R.  Van Dyke (P),10,13,-3
Fall2014,72949,BI 0330,A,3.000,Nutrient Metabolism,"[{'days': 'TF', 'times': '1100am-1215pm', 'dates': '09/02-12/08', 'location': 'BNW 254'}]",['TF 1100am-1215pm 09/02-12/08 BNW 254'],Catherine J.  Andersen,Catherine J.  Andersen (P),24,23,1
Fall2014,70897,BI 0352,A,4.000,Fundamentals of Microbiology,"[{'days': 'TF', 'times': '1230pm-0145pm', 'dates': '09/02-12/08', 'location': 'BNW 256'}]",['TF 1230pm-0145pm 09/02-12/08 BNW 256'],Olivia T.  Harriott,Olivia T.  Harriott (P),16,15,1
Fall2014,71636,BI 0352L,A,0.000,Fundamentals of Microbiology Lab,"[{'days': 'R', 'times': '0930am-1220pm', 'dates': '09/02-12/08', 'location': 'BNW 245'}]",['R 0930am-1220pm 09/02-12/08 BNW 245'],Juliana Mastronunzio  Ansari,Juliana Mastronunzio  Ansari (P),16,15,1
Fall2014,71487,BI 0354,A,3.000,Molecular Biology,"[{'days': 'MR', 'times': '1230pm-0145pm', 'dates': '09/02-12/08', 'location': 'BNW 166'}]",['MR 1230pm-0145pm 09/02-12/08 BNW 166'],Phyllis Cellini  Braun,Phyllis Cellini  Braun (P),24,12,12
Fall2014,70456,BI 0362,A,4.000,Marine Invertebrate Zoology,"[{'days': 'MR', 'times': '1230pm-0145pm', 'dates': '09/02-12/08', 'location': 'BNW GR22'}]",['MR 1230pm-0145pm 09/02-12/08 BNW GR22'],Diane J.  Brousseau,Diane J.  Brousseau (P),16,16,0
Fall2014,71634,BI 0362L,A,0.000,Marine Invertebrate Zoology Lab,"[{'days': 'M', 'times': '0200pm-0450pm', 'dates': '09/02-12/08', 'location': 'BNW 238A'}]",['M 0200pm-0450pm 09/02-12/08 BNW 238A'],Diane J.  Brousseau,Diane J.  Brousseau (P),16,16,0
Fall2014,71076,BI 0365,A,4.000,Evolutionary Biology,"[{'days': 'TF', 'times': '0930am-1045am', 'dates': '09/02-12/08', 'location': 'SON 124'}]",['TF 0930am-1045am 09/02-12/08 SON 124'],Soyong   Byun,Soyong   Byun (P),16,15,1
Fall2014,71635,BI 0365L,A,0.000,Evolutionary Biology Lab,"[{'days': 'R', 'times': '0100pm-0350pm', 'dates': '09/02-12/08', 'location': 'BNW 267'}]",['R 0100pm-0350pm 09/02-12/08 BNW 267'],Soyong   Byun,Soyong   Byun (P),16,15,1
Fall2014,72898,BI 0372,A,4.000,Environmental Toxicology,"[{'days': 'TF', 'times': '0800am-0915am', 'dates': '09/02-12/08', 'location': 'BNW 254A'}]",['TF 0800am-0915am 09/02-12/08 BNW 254A'],James E.  Biardi,James E.  Biardi (P),16,14,2
